"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API","0","Authentification","6","0","Validation","0"
"0","API","0","Inscription","6","0","Validation","0"
"0","API","0","Authentification","1","0","Identifiants invalides","0"
"0","API","0","Authentification","2","0","Parcours nominal","0"
"0","API","0","Inscription","1","0","Parcours nominal","0"
"0","API","0","Authentification","1","0","","0"
"0","API","0","Contrôle d'accès","2","0","","0"
"0","API","0","Authentification","1","0","Robustesse","0"
